Text	Paraphrase
Học sinh đó chạy nhanh, phải không?	Học sinh đó chạy rất nhanh phải không?
Học sinh đó đôi khi ảnh hưởng đến bệnh tật.	Học sinh đó đôi khi giả vờ bị ốm.
Anh trai tôi ghét tôi.	Em gái tôi ghét tôi.
Người già dậy rất sớm.	Người già dậy sớm.
Vấn đề là bố mẹ tôi có đồng ý hay không.	Vấn đề là bố mẹ tôi có đồng ý hay không.
Nhân vật hoạt hình Disney yêu thích của bạn là ai?	Nhân vật Disney yêu thích của bạn là ai?
Tôi không thể nghe thấy một từ Tom đang nói.	Tôi không hiểu một từ những gì Tom đang nói.
Rõ ràng là chúng ta không thể sống thiếu không khí.	Rõ ràng là chúng ta không thể sống thiếu không khí.
Thật đáng để ghé thăm bảo tàng đó.	Thật đáng để tham quan bảo tàng.
Bảo tàng đó đáng để ghé thăm.	Bảo tàng đáng để ghé thăm.
Tom thu thập truyện tranh.	Tom thu thập truyện tranh.
Anh là tội phạm.	Bạn là một tên tội phạm.
Cô ấy bỏ đi mà không thừa nhận tôi.	Cô ấy lướt qua tôi giả vờ như không biết tôi.
Tôi yêu bất cứ điều gì là đẹp.	Tôi yêu mọi thứ đẹp đẽ.
Tất cả những gì tôi nói đều là sự thật.	Tất cả những gì tôi đã nói là sự thật.
Bạn có muốn đá không?	Bạn có muốn một chút kem không?
Tom không thích môn toán.	Tom không thích toán học.
Tom không thích toán học.	Tom không thích toán học.
Tất cả học sinh đều có mặt.	Tất cả học sinh đều ở đó.
Anh mất mạng trong một vụ tai nạn giao thông.	Ông đã bị giết trong một tai nạn xe hơi.
Không biết phải làm gì, tôi xin lời khuyên của anh ấy.	Vì không biết phải làm gì nên tôi đã nhờ anh ấy tư vấn.
Tôi cho con mèo vào.	Tôi cho con mèo vào.
Tôi thích nghe nhạc hay.	Tôi thích nghe nhạc hay.
Tháng trước trời rất lạnh.	Tháng trước rất lạnh.
Ai trông nom lũ trẻ?	Ai đang theo dõi những đứa trẻ?
Tuần tới tôi muốn đến thăm bạn tôi.	Tôi muốn gặp bạn của tôi vào tuần tới.
Ai đã tìm thấy cô ấy?	Ai đã tìm thấy chúng?
Đó không phải là một điều thích hợp để nói.	Bạn không thể nói điều đó.
Để làm cho vấn đề tồi tệ hơn, anh ta ngã bệnh.	Để làm cho mọi thứ tồi tệ hơn, anh ấy bị ốm.
Để làm cho mọi thứ tồi tệ hơn nữa, anh ấy bị ốm.	Làm cho vấn đề tồi tệ hơn, cô ấy bị ốm.
Để tôi nói cho bạn chuyện này.	Hãy để tôi nói với bạn một điều.
Nhà tôi gần công viên.	Nhà tôi rất gần công viên.
Jane đang sôi sùng sục.	Jane tức giận.
Anh ấy đã làm nhiệm vụ với cái giá phải trả là sức khỏe của mình.	Anh đã hy sinh sức khỏe để hoàn thành nghĩa vụ.
Tôi muốn nó trong văn phòng của tôi.	Tôi muốn anh ta trong văn phòng của tôi.
Tôi muốn cô ấy trong văn phòng của tôi.	Tôi muốn bạn trong văn phòng của tôi.
Bạn đã cảnh báo Tom chưa?	Bạn đã thông báo cho Tom chưa?
Hãy tra từ này trong từ điển.	Tra cứu từ này trong từ điển, xin vui lòng.
Chị của bạn có ở đây không?	Chị của bạn có ở đó không?
Cổ vũ! Mọi thứ sẽ sớm ổn thôi.	Cổ vũ! Nó sẽ sớm ra mắt thôi.
Chúng tôi không cần anh ta.	Chúng tôi không cần cô ấy.
Chúng tôi không cần chúng.	Chúng tôi không cần những thứ đó.
Hoa tulip nở sớm.	Hoa tulip sẽ nở sớm.
Tony có chạy mỗi ngày không?	Tony chạy mỗi ngày.
Đừng đặt nhiều niềm tin vào anh ấy.	Đừng dựa dẫm vào anh ấy nhiều.
Cà phê đã sẵn sàng.	Cà phê đã sẵn sàng.
Chỉ có bốn con ngựa trong cuộc đua.	Chỉ có bốn con ngựa tham gia cuộc thi.
Tôi không nói những gì cô ấy làm là đúng đắn.	Tôi không nói rằng những gì cô ấy đã làm là đúng.
Thương hiệu yêu thích của bạn là gì?	Ban nhạc yêu thích của bạn là gì?
Mỹ là vùng đất của những người nhập cư.	Mỹ là đất nước của những người nhập cư.
Câu hỏi này quá khó đối với tôi.	Chủ đề quá sâu đối với tôi.
Mời cô ấy đi xem phim.	Mời nàng đi xem phim.
Ken sẽ mười lăm tuổi vào năm tới.	Ken sẽ 15 tuổi vào năm tới.
Tôi muốn có một danh sách các từ tiếng Ý không có trong ngữ liệu.	Tôi muốn một danh sách các từ tiếng Ý chưa xuất hiện trong ngữ liệu.
Tôi tự hỏi tôi nên làm gì cho bữa tối.	Tôi tự hỏi phải làm gì cho bữa tối.
Bạn không thể chạy trốn khỏi tuổi tác.	Không ai có thể thoát khỏi tuổi già.
Cô ấy lái chiếc Beemer.	Cô lái chiếc BMW.
Đó là những người rất nổi tiếng.	Họ là những người rất quan trọng.
Tôi tự hỏi liệu Tom có ​​thích Mary không.	Tôi tự hỏi liệu Tom có ​​thích Mary không.
Tôi nghe nói bạn đã có một người bạn gái mới.	Tôi nghe nói anh ấy có bạn gái mới.
Tom sẽ không bao giờ tha thứ cho bạn.	Tom sẽ luôn nhớ đến bạn.
Tom sẽ không bao giờ quên bạn.	Tom sẽ không bao giờ quên bạn.
Tại sao bạn không thể để tôi một mình?	Tại sao bạn không để tôi một mình?
Tom không thể làm việc này một mình.	Tôi không thể làm điều đó một mình.
Tom không thể làm điều này một mình.	Tom không thể làm điều đó một mình.
Bạn sẽ không phải làm điều đó một mình.	Bạn không cần phải làm điều này một mình.
Đó là một chiếc máy ảnh cũ.	Đây là một thiết bị cũ.
Tôi sẽ để lại cho bạn một mình.	Tôi sẽ để bạn một mình.
Bạn đang ở paris?	Họ có ở Paris không?
Tôi cảm thấy như mình đã chết.	Tôi cảm thấy như chết.
Niềm tin của tôi là cô ấy chưa bao giờ nói dối.	Tôi nghĩ rằng cô ấy vẫn chưa nói dối.
Tôi đã thường xuyên ở đó.	Tôi thường ở đó.
Tôi có một anh trai và hai em gái.	Tôi có một anh trai và hai em gái.
Bản thân tôi sẽ sửa chữa chiếc máy đó.	Tôi sẽ tự sửa cái máy đó.
Cô ấy tự làm bài tập về nhà.	Cô ấy tự làm bài tập về nhà.
Con người phải yêu thương nhau.	Con người nên yêu thương nhau.
Đó là một con gà lôi.	Đó là một con gà lôi.
Tôi đoán là nó sẽ ổn vào ngày mai.	Tôi nghĩ ngày mai trời sẽ nắng.
Tốt hơn là bạn không nên gặp cô ấy bây giờ.	Anh không nên gặp cô ấy lúc này.
Tôi thích núi hơn biển.	Tôi thích núi hơn tôi thích biển.
Tôi thích những ngọn núi hơn đại dương.	Tôi thích núi hơn biển.
Tôi vẽ kém.	Tôi không giỏi vẽ.
Học tiếng Hy Lạp có khó không?	Học tiếng Hy Lạp có khó không?
Chiếc xe máy tông vào cột điện thoại.	Chiếc xe máy đâm vào cột điện báo.
Việc đi bộ sẽ mất không ít hơn tám giờ.	Việc đi bộ sẽ mất ít nhất tám giờ.
Bữa tiệc kết thúc lúc nửa đêm.	Bữa tiệc kết thúc lúc nửa đêm.
Một tiếng động lớn khiến anh giật nảy mình.	Một tiếng động lớn khiến cô giật nảy mình.
Một cơn bão lớn đang đến gần.	Một cơn bão lớn đang đến.
Một con vật lớn chạy trốn khỏi sở thú.	Một con vật lớn chạy trốn khỏi sở thú.
Tôi cố gắng đọc càng nhiều sách có giá trị càng tốt.	Tôi đọc sách thông tin càng nhiều càng tốt.
Bạn là người đàn ông tốt nhất cho công việc.	Bạn là người phù hợp nhất với vị trí này.
Mẹ có ý kiến ​​hay của nhà văn.	Mẹ tôi đánh giá cao nhà văn này.
Mẹ tôi không làm gì khác ngoài khóc.	Mẹ tôi không ngừng khóc.
Mẹ vừa ra ngoài mua sắm.	Mẹ vừa đi chợ về.
Mẹ đi mua sắm ở cửa hàng bách hóa.	Mẹ tôi đã đi đến cửa hàng bách hóa để mua sắm.
Mẹ tôi nghĩ mọi thứ về tiền bạc.	Mẹ tôi nghĩ rằng mọi thứ đều liên quan đến tiền bạc.
Bạn có thể cho tôi mượn một xu được không?	Làm ơn cho tôi mượn mười xu.
"Không đời nào! ""Đường."""	"Không bao giờ! ""Dĩ nhiên là không."""
Bạn phải làm gì bây giờ?	Bạn phải làm gì bây giờ?
Bạn đã bao giờ nhìn thấy một con cá voi?	Bạn đã bao giờ nhìn thấy một con cá voi?
Bạn đã đến Kyoto chưa?	Bạn đã bao giờ đến thăm Kyoto trước đây chưa?
Bạn nghĩ anh ấy là ai?	Bạn nghĩ cô ấy là ai?
Bạn có nhận thấy anh ta rời khỏi nhà?	Bạn có để ý rằng cô ấy bỏ nhà đi không?
Bạn đã đến thăm tháp Tokyo chưa?	Bạn đã đến thăm tháp Tokyo chưa?
Bạn không thể ở lại lâu.	Anh ấy không thể ở lại lâu.
Bạn không cần phải trả tiền cho bữa ăn trưa của bạn.	Bạn không cần phải trả tiền cho bữa ăn trưa của bạn.
Rất ít sinh viên biết tên anh ấy.	Chỉ có một vài sinh viên biết họ của anh ấy.
Bạn không biết tên của anh ấy?	Bạn không biết tên cô ấy?
Tom, bạn muốn ăn gì cho bữa tối?	Tom, bạn muốn gì cho bữa ăn tối?
Anh ấy có một cơ thể đẹp.	Cô ấy có một body chuẩn.
Tom dường như luôn luôn bận rộn.	Tom dường như luôn luôn bận rộn.
Tom luôn có vẻ bận rộn.	Tom dường như luôn luôn bận rộn.
Anh ấy đến sau khi bạn rời đi.	Anh ấy đến ngay sau khi bạn rời đi.
Cha lướt qua tờ báo.	Cha tôi lướt nhanh tờ báo.
Tất cả học sinh chúng tôi đều thích bóng chày.	Tất cả học sinh chúng tôi đều thích bóng chày.
Tôi sẽ ra ngoài một lúc.	Tôi chỉ đi ra ngoài một phút.
Đừng đọc một cuốn sách như vậy.	Đừng đọc loại sách đó.
Đó là một cuộc họp rất dài.	Cuộc họp đó kéo dài rất lâu.
Người cha là một thợ may.	Bố đang đan áo len.
Tom đã chiến đấu.	Tom vật lộn.
Tom đang chiến đấu.	Tom đang gặp khó khăn.
Tom đã chiến đấu.	Tom đưa ra một cuộc chiến.
Chúng tôi đã có một cuộc tranh luận.	Chúng tôi đã có một cuộc chiến.
Chúng tôi đã đánh nhau.	Chúng tôi đã đánh nhau.
Anh ta đánh con mình.	Cô ấy đánh con mình.
John và Beth bằng tuổi nhau.	John và Beth bằng tuổi nhau.
Bill không cao như bạn.	Bill không cao bằng bạn.
Bill nói tiếng Nhật lưu loát đến kinh ngạc.	Thật ngạc nhiên khi Bill nói tiếng Nhật lưu loát.
Bill là một kẻ ngốc bình thường.	Bill là một con rối hoàn chỉnh.
Tom chơi trống.	Tom đánh trống lảng.
"Tôi có nên nhận một tin nhắn? ""Không cám ơn."""	"Bạn có muốn để lại tin nhắn? ""Không, cám ơn."""
Cô ấy nhiều nhất là mười tám tuổi.	Cô ấy nhiều nhất là 18 tuổi.
Tôi sẽ mười sáu tuổi vào sinh nhật tới.	Tôi sẽ mười sáu tuổi vào ngày sinh nhật tiếp theo của tôi.
Trên thực tế, cô ấy là em gái của tôi.	Thật ra, cô ấy là chị gái của tôi.
Tôi cầu xin anh ấy giúp tôi.	Tôi nhờ anh ấy giúp đỡ.
Tôi đã nhờ anh ấy giúp đỡ.	Tôi đã nhờ cô ấy giúp đỡ.
Tom đã gọi cho tôi.	Tom gọi tôi dậy.
Tom cho Mary xem những bức ảnh.	Tom cho Mary xem những bức ảnh.
Nó giống như một giấc mơ trở thành sự thật.	Nó giống như một giấc mơ.
Máy tính có thể phát hiện 200 loại lỗi.	Máy tính nhận ra hai trăm loại lỗi khác nhau.
Đó là một chiếc vòng cổ đẹp.	Tôi thích vòng cổ của bạn.
Bạn đã học lái xe ở đâu?	Anh ấy đã học lái xe ở đâu?
Bạn đã tìm thấy chìa khóa của mình ở đâu?	Anh ấy đã tìm thấy chìa khóa của mình ở đâu?
Bạn đã ở đâu? Chúng tôi đã tìm kiếm bạn khắp nơi.	Bạn đã ở đâu? Chúng tôi đã tìm kiếm khắp nơi cho bạn!
Tôi ngạc nhiên khi thấy bạn hút thuốc. Bạn đã không sử dụng để.	Tôi ngạc nhiên khi thấy bạn hút thuốc; bạn đã không sử dụng để.
Có vô số ngôi sao trên bầu trời.	Vô số ngôi sao đang lấp lánh trên bầu trời.
Nhiều ngôi sao có thể nhìn thấy trên bầu trời.	Vô số ngôi sao tỏa sáng trên bầu trời.
Không một ngôi sao nào được nhìn thấy trên bầu trời.	Tôi không thể nhìn thấy ngôi sao nào trên bầu trời.
Có nhiều ngôi sao trên bầu trời hơn tôi có thể đếm được.	Tôi không thể đếm những ngôi sao trên bầu trời.
Tôi thích đồ ăn Trung Quốc.	Tôi thích đồ ăn Trung Quốc.
Tôi cảm thấy muốn nghỉ ngơi.	Tôi cảm thấy như một phần còn lại.
Tôi muốn có một kỳ nghỉ ngắn.	Tôi có thể làm với một số phần còn lại.
Ai đã kể cho bạn nghe câu chuyện?	Ai đã kể câu chuyện cho bạn nghe?
Tôi thích mưa và tuyết.	Tôi thích mưa và tuyết.
Tại sao bạn muốn đi?	Tại sao bạn muốn rời đi?
Anh ngồi xuống cạnh cô.	Anh ngồi cạnh cô.
Cô ngồi cạnh anh.	Cô ngồi xuống cạnh anh.
Anh ngồi xuống cạnh cô.	Anh ngồi xuống bên cạnh cô.
Anh ngồi xuống gần cô.	Anh đang ngồi cạnh cậu.
Tôi đã nghe bài hát đó một lần rồi.	Tôi đã nghe bài hát đó trước đây.
Tôi đã ở nhà.	Tôi đã ở nhà.
Tôi đã ở trong nhà.	Tôi đã ở nhà.
Tôi co thể giup.	Tôi có thể đã giúp đỡ.
Tôi đã có thể giúp đỡ.	Tôi đã có thể giúp được.
Tôi muốn bạn thua cuộc.	Tôi muốn anh ta thua.
Tôi đang chăm sóc Tom.	Tôi đã chăm sóc Tom.
Bạn có thể giao cái đó không?	Bạn có thể giao cái này không?
Nó đã được mong đợi.	Điều đó có thể đoán trước được.
Điều đó đã đươc dự liệu trước.	Điều đó đã được dự đoán trước.
Nó có thể đoán trước được.	Chúng tôi mong đợi điều đó xảy ra.
Điều đó đã được mong đợi.	Điều đó nên đã được mong đợi.
Bạn đang trong tầm ngắm của tôi.	Bạn đang ngồi ở chỗ của tôi.
Bạn sẽ được với tôi.	Bạn sẽ ở lại với tôi.
Bạn sẽ nói với Tom?	Bạn sẽ nói với Tom chứ?
Tiền của tôi đâu?	Tiên của tôi ở đâu?
Tom có ​​thể làm gì?	Tom có ​​thể làm gì?
Điều gì có thể đi sai?	Cái gì có thể đi sai?
Thật là một cảnh tượng kỳ diệu!	Thật là một cái nhìn tốt đẹp!
Cảnh tượng này mới tuyệt làm sao.	Thật là một cảnh đẹp.
Thật là một cảnh đẹp!	Thật là một cảnh đẹp!
Thật là một cái nhìn tuyệt vời!	Thật là một cảnh tượng tuyệt vời!
Thật là một phong cảnh đẹp!	Thật là một cái nhìn tuyệt vời!
Bữa tối của tôi.	Bữa tối là của tôi.
Bạn có trượt tuyết không?	Bạn có thể trượt tuyết?
Ma-ri-a qua đời.	Mary đã qua đời.
Tôi đang ở Boston.	Bạn đang ở Boston.
Bạn đang ở Boston.	Bây giờ tôi đang ở Boston.
Tôi đang ở Boston ngay bây giờ.	Cô ấy ở Boston.
Bây giờ tôi đang ở Boston.	Họ đang ở Boston.
Chúng tôi đang ở Boston.	Chúng tôi đang ở Boston.
Tôi say quá.	Tôi say quá rồi.
Chúng tôi thực sự say.	Chúng tôi đã quá say.
Chúng tôi rất say.	Chúng tôi đã quá say.
Tom yêu âm nhạc.	Tom thích âm nhạc.
Anh tức giận nhìn cô.	Anh tức giận nhìn cậu.
Tôi đã nhìn thấy tất cả.	Tôi đã thấy mọi thứ.
Tôi đã nhìn thấy mọi thứ.	Tôi đã thấy tất cả những điều đó.
Tại sao bạn không quan tâm đến kinh doanh của riêng bạn?	Tại sao bạn không chăm sóc công việc của riêng bạn?
Đây là một mô hình mới.	Đây là mô hình mới.
Đó là 50 yên.	Đó là 50 yên.
Anh ấy để tóc dài vào năm ngoái.	Tóc anh dài năm ngoái.
Đó là một ngày hoàn toàn mới.	Hôm nay là một ngày mới.
Graham Greene là một trong những tác giả yêu thích của tôi.	Graham Greene là một tác giả yêu thích của tôi.
Graham Greene là nhà văn yêu thích của tôi.	Graham Greene là nhà văn yêu thích của tôi.
Họ yêu con cái của họ.	Họ yêu con cái của họ.
Bạn có thể nói tiếng Trung tốt không?	Bạn có giỏi nói tiếng Trung không?
Cô ấy nhớ gia đình mình rất nhiều.	Anh ấy rất nhớ gia đình.
Bạn cùng phòng của tôi đang học tiếng Trung.	Bạn cùng phòng của tôi đang học tiếng Trung.
Tom có ​​thể tự lo cho mình.	Tom có ​​khả năng tự chăm sóc bản thân.
Cậu bé đã về nhà.	Cậu bé về nhà.
Tôi chưa gặp anh ấy.	Tôi chưa gặp cô ấy.
Tôi đã trả tiền cho anh ta vào tuần trước.	Tôi đã trả tiền cho anh ấy vào tuần trước.
Tôi đã nhìn thấy anh ta tuần trước.	Tôi đã nhìn thấy cô ấy tuần trước.
Tôi bị cô giáo mắng.	Cô giáo giận tôi.
Tôi tình cờ gặp một người bạn cũ tại bữa tiệc hôm nọ.	Tôi tình cờ gặp một người bạn cũ của tôi tại bữa tiệc ngày hôm trước.
Tôi trả tiền trước.	Tôi trả trước.
Tôi thích chiêm tinh học.	Tôi yêu thiên văn học.
Tôi ngủ trên tàu.	Tôi ngủ trên thuyền.
Cha tôi đang ở trong.	Cha tôi đang ở nhà.
Cha tôi đã già đi.	Cha tôi trở nên già yếu.
Tôi sẽ cho bạn biết trước.	Tôi sẽ cho bạn biết trước.
Bạn sẽ ở lại London bao nhiêu ngày?	Bạn sẽ ở London bao lâu?
Tôi biết tốt hơn hết là không nên leo núi vào mùa đông mà không chuẩn bị trước mọi thứ cần thiết.	Tôi không ngu đến mức leo núi vào mùa đông mà không chuẩn bị đầy đủ trước.
Tôi đã gặp anh ấy vào ngày hôm trước.	Tôi đã gặp anh ấy vào ngày hôm trước.
Tôi lên tàu đi Luân Đôn.	Tôi lên chuyến tàu đi London.
Quần vợt là môn thể thao yêu thích của tôi.	Tôi thích quần vợt nhất trong tất cả các môn thể thao.
Quần vợt là môn thể thao yêu thích của tôi.	Quần vợt là môn thể thao ưa thích của tôi.
Đó là điều không thể tránh khỏi.	Nó không thể tránh được.
Điều đó có thể tránh được.	Điều này không thể tránh được.
Luân Đôn là thủ đô của nước Anh.	Luân Đôn là thủ đô của Vương quốc Anh.
London là lớn, so với Paris.	Khi so sánh với Paris, London là lớn.
Không khí ở London không có gì nhiều để khoe khoang.	Không khí ở London, tốt nhất, không có gì nhiều để khoe khoang.
Tom là một cựu chiến binh.	Tom là một bác sĩ thú y.
Trong thời gian ở London, tôi đã gặp anh ấy.	Tôi gặp anh ấy khi tôi đang ở London.
Có đúng là bạn sẽ học ở London không?	Bạn thực sự sẽ đến London để học?
Tom ba mươi tuổi.	Tom đã ngoài ba mươi.
Tom sắp ba mươi tuổi.	Tom gần ba mươi.
Tom ba mươi tuổi.	Tom ba mươi tuổi.
Tom ba mươi tuổi.	Tom đã ba mươi.
Tom khoảng ba mươi.	Tom ở độ tuổi ngoài ba mươi.
Tom đã 30 tuổi.	Tom đã gần ba mươi.
Tom đã ngoài ba mươi.	Tom đang ở tuổi ba mươi.
Tom khoảng ba mươi.	Tom là ba mươi.
Tôi đã đến Luân Dôn.	Tôi đã được ở London.
Tom hoàn toàn đúng.	Tom nói khá đúng.
Tom hoàn toàn đúng.	Tom hoàn toàn chính xác.
Có rất nhiều công viên ở London.	Có rất nhiều công viên ở London.
Tom đang cư xử kỳ lạ.	Tom đang hành động kỳ lạ.
Tom đang hành động kỳ lạ.	Tom đã cư xử kỳ quặc.
Tom đã hành động kỳ lạ gần đây.	Tom đã hành động kỳ lạ.
Tom đã hành động kỳ lạ.	Tom đang cư xử kỳ quặc.
Tom cư xử kỳ lạ.	Tom đang hành động kỳ lạ.
Bạn có thể giới thiệu cho tôi một nơi để ở lại London?	Bạn có thể giới thiệu một nơi cho tôi ở lại London?
Bell từng sống ở London phải không?	Bell sống ở London phải không?
Bao xa từ New York đến Luân Đôn?	Khoảng cách giữa New York và Luân Đôn là bao nhiêu?
Chuyến tàu đi đến London.	Chuyến tàu này sẽ đến London.
Tình cờ là lúc đó chúng tôi đang ở London.	Chúng tôi tình cờ ở London vào thời điểm đó.
Lý thuyết của ông rất khó hiểu.	Thật khó để hiểu lý thuyết của anh ấy.
Tôi để lại cho bạn một tin nhắn.	Tôi để lại lời nhắn cho anh ấy.
Tôi sẽ đọc cuốn tiểu thuyết nếu nó thú vị.	Tôi sẽ đọc cuốn tiểu thuyết nếu nó thú vị.
Giết người bị trừng phạt bằng cái chết.	Giết người bị trừng phạt bằng cái chết.
O của bạn trông giống như một.	Chữ O của bạn giống với chữ A của bạn.
Tom đứng dậy và đi về phía cửa.	Tom đứng dậy và đi ra cửa.
Nó không phải lúc nào cũng như vậy.	Nó không phải lúc nào cũng như vậy.
Nó không phải lúc nào cũng như thế này.	Nó không phải lúc nào cũng như thế này.
Tom đã nói chuyện với Mary.	Tom đã nói chuyện với Mary.
Tom đang nói chuyện với Mary.	Tom đang nói chuyện với Mary.
Tom đã có một cuộc trò chuyện với Mary.	Tom trò chuyện với Mary.
Hãy đến và nhìn này!	Hãy đến và xem cái này.
Tôi không thể giải thích cho việc cô ấy vắng mặt ở trường.	Tôi không thể nói cho bạn biết tại sao cô ấy nghỉ học.
Nó rất nóng trong mùa hè.	Ở đây rất nóng vào mùa hè.
Vào mùa hè, ở đây rất nóng.	Mùa hè ở đây khá ấm áp.
Bạn sẽ tặng gì cho cô ấy?	Bạn sẽ tặng gì cho anh ấy?
Anh ấy có quan hệ họ hàng xa với cô ấy.	Anh là họ hàng xa của cô.
Anh ấy đủ lớn để đi du lịch một mình.	Bây giờ anh ấy đã đủ lớn để đi du lịch một mình.
Người phụ nữ ấn đứa bé vào người.	Người phụ nữ ôm lấy đứa bé.
Nó không phải là một căn hộ thực sự.	Nó không phải là một căn hộ thực sự.
Cô gọi điện cho bác sĩ tâm lý.	Cô gọi cho bác sĩ tâm lý.
Rõ ràng là người đàn ông đã sai.	Rõ ràng là người đàn ông đã sai.
Anh ấy là cậu bé mà chúng ta đã nói chuyện ngày hôm trước.	Anh ấy là cậu bé mà chúng ta đã nói về ngày hôm trước.
Thật là một nỗi sợ hãi khi tôi mở cửa!	Tôi sợ làm sao khi tôi mở cửa!
Tom cần một số tiền mặt.	Tom cần tiền mặt.
Tom muốn có tiền.	Tom cần tiền.
Tom xin tiền.	Tom yêu cầu một số tiền.
Tom cần tiền.	Tom cần tiền mặt.
Con mèo cưng của tôi đã chết ngày hôm qua.	Vấn đề là, con mèo của chúng tôi đã chết ngày hôm qua.
Cô ấy đã bắn anh ta.	Anh ta đã bắn cô ấy.
Cô ấy đã bắn cô ấy.	Bạn đã bắn anh ta.
Anh ấy đã nghỉ học ngày hôm qua.	Anh ấy đã không đến trường ngày hôm qua.
Tom là lãnh đạo của chúng tôi.	Tom là người hướng dẫn của chúng tôi.
Ngay cả khi tôi ngồi trong ánh mặt trời, tôi cảm thấy lạnh.	Tôi cảm thấy lạnh mặc dù tôi đang ngồi dưới ánh mặt trời.
Cuốn sách này không phải để bán.	Cuốn sách đó không có sẵn để mua.
Tôi đã từng đọc tiểu thuyết một cách ngẫu nhiên.	Tôi đã từng đọc mọi cuốn sách đến với mình.
Tom không có gì nhiều để nhìn.	Tom không đẹp trai lắm.
Tom không phải là rất đẹp trai.	Tom không phải là rất đẹp trai.
Tôi đã nhìn thấy bức tranh đó trước đây.	Tôi đã xem bộ phim trước đây.
Tôi đã nhìn thấy hình ảnh trước đây.	Tôi đã xem bộ phim rồi.
Tôi đã xem bộ phim đó trước đây.	Tôi đã nhìn thấy hình ảnh này trước đây.
Tôi đã xem bộ phim đó rồi.	Tôi đã xem bộ phim này trước đây.
Tôi luôn thích Tom.	Tôi vẫn yêu Tom.
Thủ đô của Brazil là Brasilia.	Brasilia là thủ đô của Brazil.
Anh ấy đã tin tưởng bạn.	Cô ấy đã tin tưởng bạn.
Không có gì tệ hơn là làm mọi thứ một nửa!!	Không có gì tệ hơn là làm điều gì đó một cách nửa vời.
Điều tồi tệ nhất bạn có thể làm là chỉ làm một việc gì đó nghiêm túc một nửa.	Làm điều gì đó nửa vời là điều tồi tệ nhất bạn có thể làm.
Bạn ủng hộ hay phản đối chính sách đó?	Bạn ủng hộ chính sách đó hay bạn phản đối nó?
Điều này thật ngu ngốc.	Nó chỉ là ngu ngốc.
Điều đó thật ngu ngốc.	Đó chỉ là ngớ ngẩn!
Tom thích đi dạo một mình.	Tom thích đi dạo một mình.
Lần cuối bạn nhìn thấy anh ấy là khi nào?	Lần cuối bạn nhìn thấy cô ấy là khi nào?
Lần cuối cùng bạn nhìn thấy anh ấy là khi nào?	Lần cuối bạn thấy anh ta là khi nào?
Tom thích cam và ăn ba hoặc bốn quả một tuần.	Tom thích cam và ăn khoảng 3 hoặc 4 quả mỗi tuần.
Cô ngày càng xinh đẹp khi lớn lên.	Càng lớn, cô càng xinh đẹp.
Một ông Tây gọi khi bạn vắng mặt.	Một ông West đã gọi khi bạn ra ngoài.
Tôi đi thay áo.	Tôi sẽ thay áo.
Tom chảy nước miếng.	Tom đang chảy nước miếng.
Cô ấy làm cho công việc trở nên lộn xộn.	Cô làm hỏng việc.
Tom vẫn ổn.	Tom đã tốt.
Tom đã dũng cảm.	Tom đã dũng cảm.
Tom đã được tốt.	Tom đã làm việc hiệu quả.
Họ thật tuyệt vời.	Họ vẫn ổn.
Anh ta đã buộc tội họ một cách sai trái.	Bạn đã buộc tội sai người dân.
Nó hầu như không bỏ lỡ!	Nó đã gần như trong!
Tôi đến từ Boston.	Tôi đến từ Boston.
Bạn đang chảy máu.	Họ đang chảy máu.
Bạn sẽ tìm thấy ai đó.	Bạn sẽ tìm thấy ai đó.
Bạn nên ăn.	Bạn phải ăn.
Bạn phải ăn.	Bạn nên ăn tốt hơn!
Nó là cần thiết mà bạn ăn.	Bạn phải ăn.
Tom khập khiễng.	Tom đi khập khiễng.
Tôi thật kinh khủng.	Tôi thật tồi tệ.
Tom không được khỏe.	Tom không tử tế.
Tom rất cứng rắn.	Tom thật thô lỗ.
Tom rất khắc nghiệt.	Tom đã bất lịch sự.
Tom không thân thiện.	Tom đã từng rất khó tính.
Tom hung hăng.	Tom đã thiếu tôn trọng.
Tom đã không tốt.	Tom không tốt.
Tom thật thô lỗ.	Tom không khỏe.
Tom đã rất khó khăn.	Tom không được khỏe.
Tôi ngạc nhiên với chính mình.	Bản thân tôi cũng ngạc nhiên.
Có lẽ anh ấy đang chạy bộ quanh công viên.	Có lẽ anh ấy đang chạy trong công viên ngay bây giờ.
Bạn đã thử nó trước đây chưa?	Bạn đã thử điều đó trước đây chưa?
Canada nằm ở phía bắc của Hoa Kỳ.	Canada nằm ở phía bắc của Mỹ.
Họ nói ngôn ngữ gì ở Canada?	Ngôn ngữ nào được sử dụng ở Canada?
Họ nói tiếng Anh và tiếng Pháp ở Canada.	Cả tiếng Pháp và tiếng Anh đều được nói ở Canada.
Tôi thích câu trả lời đó.	Tôi thích câu trả lời này.
Tôi biết làm thế nào để làm điều đó.	Tôi biết máy khoan.
Tôi biêt chuyện đo như thê nao.	Tôi biết bài hát.
Bạn có biết chiếc xe này ở đây thuộc về ai không?	Quý ông có biết đây là xe của ai không?
Bạn có biết chiếc xe này là của ai ở đây không?	Xe của ai, bạn có biết không?
Ông ấy không phải bố tôi.	Anh không phải bố tôi!
Ông không chỉ dạy học mà còn viết tiểu thuyết.	Anh ấy không chỉ dạy ở trường, anh ấy còn viết tiểu thuyết.
